,global Epoch,global_accuracy,global_loss
0,0.0,8.09,2.426945502090454
1,,20.87,2.2223618125915525
2,,25.35,2.1104637775421144
3,,28.360000000000003,2.027688611602783
4,,29.94,1.9435960479736327
5,,38.279999999999994,1.7809430730819702
6,,45.42,1.6695609142303467
7,,47.25,1.6012179454803466
8,,48.07,1.5506810043334962
9,,51.72,1.482365078163147
10,,51.51,1.4429753675460815
11,,54.72,1.3912052896499634
12,,57.04,1.3391389532089233
13,,59.07,1.3041143821716308
14,,58.77,1.3156629196166991
15,,56.330000000000005,1.324830274963379
16,,58.37,1.2946805053710937
17,,59.47,1.2541449518203736
18,,58.41,1.265669748878479
19,,59.730000000000004,1.2424403396606445
20,,60.29,1.2318235403060913
