,l_x,l_y,l_z,f_x,f_y,f_z
0,1.2808002432994363e-07,1.6964713600668324,150.0,[ 22.51145746  38.31278802 140.        ],[ 15.35597405   9.73026895 140.        ],[ 11.51589876  15.81534699 140.        ]
1,2.562313798706748e-07,3.3938875306676497,150.0,[ 23.48933816  35.24913144 140.        ],[ 17.14146584   9.27844927 140.        ],[ 11.74854666  17.56364378 140.        ]
2,1.8190375303919705e-07,5.094305358339357,150.0,[ 23.567601    37.48468796 140.        ],[ 19.18092759  11.29453956 140.        ],[ 14.15503415  15.57847157 140.        ]
3,6.074257573343979e-07,7.2797511359850215,150.0,[ 23.76000754  34.32625118 140.        ],[ 22.71088248  13.51664453 140.        ],[ 15.89920087  13.3534984  140.        ]
4,1.552145426077488e-06,9.460918219777746,150.0,[ 24.48599803  32.14640913 140.        ],[ 26.0199033   12.60084226 140.        ],[ 17.9482676   14.78784555 140.        ]
5,4.296518889039772e-06,11.625949295786773,150.0,[ 25.47970195  35.31971803 140.        ],[ 27.52772294   9.32944488 140.        ],[ 19.33797805  11.81704837 140.        ]
6,1.5177675439331211e-05,13.717877026886532,150.0,[ 26.35353296  37.59554345 140.        ],[ 31.2593752   10.85694032 140.        ],[ 21.32568947  13.81656499 140.        ]
7,7.034319427337511e-05,15.750803963322447,150.0,[ 27.71296782  33.98920208 140.        ],[ 31.71812019  13.72356525 140.        ],[ 25.27057198  13.19064067 140.        ]
8,0.00013088345075384868,17.761023656785657,150.0,[ 29.8398234   32.70093378 140.        ],[ 35.53035919  14.04840948 140.        ],[ 26.37996021  16.1530382  140.        ]
9,0.0001797657713404308,19.774714838813583,150.0,[ 31.52443801  29.89962275 140.        ],[ 36.38459292  12.18984235 140.        ],[ 27.19653684  19.95141214 140.        ]
10,0.000201565201908222,21.792370961757054,150.0,[ 31.74550224  26.36466597 140.        ],[ 36.67565207   8.663172   140.        ],[ 27.54111529  16.08680527 140.        ]
11,0.0002588074278244121,23.813058083892884,150.0,[ 34.74270087  27.1922961  140.        ],[ 36.97489679  11.78650794 140.        ],[ 31.19492687  16.79607072 140.        ]
12,0.00028210332199298546,25.83534314624843,150.0,[ 37.19726341  27.63054765 140.        ],[ 38.49395189   8.46277246 140.        ],[ 31.72011802  14.0390492  140.        ]
13,0.00032789833981741734,27.86112874231117,150.0,[ 37.70022996  25.44419174 140.        ],[ 38.74875906  10.93259642 140.        ],[ 35.11102657  14.77578856 140.        ]
14,0.0003297492444270208,29.895172719153816,150.0,[ 40.12708916  22.85737096 140.        ],[ 41.17984434  10.88500666 140.        ],[ 38.1018609   15.95946238 140.        ]
15,0.00032986541935923477,31.433956352978427,150.0,[ 41.44345723  22.00659641 140.        ],[ 41.23871739  12.53048589 140.        ],[ 40.31762291  16.5264833  140.        ]
16,0.00032979789967268677,32.978626667628674,150.0,[ 43.91864201  23.07509748 140.        ],[ 42.82015934  10.49400297 140.        ],[ 41.68721539  17.9199961  140.        ]
17,0.0003297302637387302,34.52595641288897,150.0,[ 45.9740131  21.1846511 140.       ],[ 43.20009182   8.68687343 140.        ],[ 43.56314779  19.627674   140.        ]
18,0.00032966252210032954,36.075704393856746,150.0,[ 46.44075253  24.14211764 140.        ],[ 44.74663847   8.96507349 140.        ],[ 44.06440803  21.47378246 140.        ]
19,0.00032959459959655074,37.629590092204104,150.0,[ 48.62502761  23.39331939 140.        ],[ 45.03371787  11.44140367 140.        ],[ 45.31574831  19.41666157 140.        ]
